Geneid	3FG1	3FG2	3FG3	3FS1	3FS2	3FS3	3MG1	3MG2	3MG3	3MS1	3MS2	3MS3	3WM1	3WM2	3WM3
remanei_genome_00005820	0	0	2	4	0	4	0	0	0	102	87	52	151	177	148
remanei_genome_00005821	0	0	4	27	4	45	4	9	9	564	883	283	377	416	323
remanei_genome_00005822	2	2	3	49	8	113	18	13	25	1076	1454	507	1225	1476	1111
remanei_genome_00005823	0	2	0	0	0	0	0	0	0	24	38	16	18	54	24
remanei_genome_00005840	5674	5144	6620	11865	9325	25945	2428	1398	2100	9671	10666	8080	8888	7838	6666
remanei_genome_00005841	2	0	0	40	6	29	6	14	14	544	558	332	310	367	246
remanei_genome_00005842	1026	951	363	1143	531	599	186	90	166	507	723	450	4133	3392	3317
remanei_genome_00005844	19470	11144	14400	42166	31681	88597	15220	13507	14584	39082	198740	64479	221352	185146	185918
remanei_genome_00005846	984	376	365	2305	1143	2604	675	327	680	2613	2481	1814	4281	4218	3262
remanei_genome_00005847	142	48	132	2006	659	3347	213	184	364	15816	7289	4578	2824	2667	2359
remanei_genome_00005849	49	32	0	289	111	124	54	28	15	401	174	258	1361	1000	716
remanei_genome_00005850	22	8	20	250	152	326	30	12	30	668	578	182	742	732	476
remanei_genome_00005851	6484	1684	2018	9926	6997	10675	3899	1830	2944	7156	12330	12336	14630	13702	10478
remanei_genome_00005852	414	366	234	2730	2256	3118	942	668	590	5567	5637	4517	1336	1668	1608
remanei_genome_00005853	169	273	168	502	504	1179	126	56	124	831	1367	586	1284	1585	1178
remanei_genome_00005855	20	10	8	172	48	348	10	14	18	93	130	94	42	84	76
remanei_genome_00005856	2360	2640	2005	2962	2679	3555	477	298	290	2129	2022	1885	2758	2531	2338
remanei_genome_00005858	6	6	6	118	68	128	2	2	10	120	157	90	216	294	196
remanei_genome_00005839	1341	780	457	4702	2667	5366	1300	557	601	7375	5979	5117	11584	12148	10020
remanei_genome_00005843	1807	798	861	4450	2656	6365	2371	1086	1481	5420	6818	3985	9008	10257	8077
remanei_genome_00005845	1418	986	643	2672	1301	1541	720	182	270	2310	1203	740	2819	2397	1795
remanei_genome_00005848	2	4	12	63	38	105	2	0	2	36	117	17	183	135	110
remanei_genome_00005854	0	0	0	14	10	20	0	0	4	2	96	22	76	36	30
remanei_genome_00005857	342	209	270	5809	3472	10012	760	660	690	20123	13711	5868	5838	5671	3610
remanei_genome_00005859	8	10	6	7	11	27	14	28	12	29	22	16	6	15	22
remanei_genome_00005876	566	717	586	1013	891	1576	311	182	228	940	961	613	1416	1818	1149
remanei_genome_00005878	24697	12037	15198	60344	36066	82158	17925	7850	9302	53278	73462	24614	64573	65163	47465
remanei_genome_00005881	753	970	1147	5952	6064	13730	797	576	1384	4187	6894	7717	7010	5084	5283
remanei_genome_00005883	586	673	604	940	919	2175	106	38	120	884	2096	815	2306	2651	1975
remanei_genome_00005887	665	501	537	5620	4216	10818	515	341	543	7409	9319	5802	7357	6734	5231
remanei_genome_00005888	285	118	404	796	344	2261	148	43	106	472	289	259	526	828	417
remanei_genome_00005891	2522	2011	1459	2924	2294	3626	839	357	617	2703	4167	2387	6695	5783	5281
remanei_genome_00005892	2114	938	1990	6260	4836	15992	3245	1296	3506	7415	11596	11803	15955	10397	13262
remanei_genome_00005879	30	24	18	204	118	212	30	16	16	348	380	218	866	1115	907
remanei_genome_00005880	18	14	8	131	90	186	36	8	44	434	487	406	916	1004	1087
remanei_genome_00005882	3496	1581	1694	6642	5884	8661	1633	950	946	3143	4053	3120	5296	4946	4297
remanei_genome_00005884	18	24	13	60	20	22	4	6	8	42	32	30	118	54	74
remanei_genome_00005885	10	4	8	80	40	150	6	0	10	166	108	76	376	294	262
remanei_genome_00005886	12	14	2	22	2	28	0	0	4	30	36	10	8	30	4
remanei_genome_00005889	229	171	138	476	473	825	104	46	108	505	558	495	885	883	798
remanei_genome_00005890	39	20	9	151	95	125	29	10	17	201	276	136	1603	1529	768
remanei_genome_00005864	392	109	50	1744	712	1442	359	228	152	3549	2494	1357	3364	3687	2479
remanei_genome_00005865	1559	922	1107	3511	3942	5533	877	436	986	2644	3536	2841	3360	2590	2432
remanei_genome_00005866	1454	1238	576	2041	1168	1543	466	198	330	1721	1881	1476	5420	5188	4512
remanei_genome_00005870	103	82	67	502	510	630	229	117	124	1022	1006	662	1283	1206	1166
remanei_genome_00005871	746	401	493	2012	1887	3778	632	284	334	879	1732	1582	3704	2487	2068
remanei_genome_00005860	589	453	169	351	143	222	3	0	2	37	13	34	191	148	226
remanei_genome_00005861	2066	1861	731	1975	1146	1209	119	66	181	631	1066	727	6988	4341	4847
remanei_genome_00005862	1224	1158	397	1744	891	1027	324	171	339	1388	2206	1406	16264	10526	13155
remanei_genome_00005863	94	80	50	230	92	249	54	21	50	263	268	252	755	530	1032
remanei_genome_00005867	4705	6433	3717	2146	2547	2480	62	2	104	134	30	118	182	330	412
remanei_genome_00005868	86	30	72	134	96	262	30	16	9	192	124	67	254	358	257
remanei_genome_00005869	682	353	207	2682	1118	1693	474	205	361	1924	2582	1761	6515	6112	5345
remanei_genome_00005872	726	364	632	7819	5912	16408	1188	684	1259	17983	17541	7412	5730	6510	4172
remanei_genome_00005873	80	70	72	382	309	1108	346	166	166	654	2815	1073	5146	5737	4847
remanei_genome_00005874	4345	3461	2593	6642	5693	8173	1852	971	1485	4532	6532	5287	11092	9293	8845
remanei_genome_00005875	3315	2688	2370	12503	13436	14570	4597	2680	4872	17213	18605	11757	6297	3266	6345
remanei_genome_00005877	3434	2939	2210	5102	3680	5511	1204	599	774	4670	4278	3182	6568	6116	5556
remanei_genome_00005894	16	18	23	372	148	566	14	34	58	1109	649	219	177	226	166
remanei_genome_00005896	2	6	4	38	56	74	8	4	0	125	250	58	232	226	216
remanei_genome_00005897	2136	2282	1616	3167	2721	4211	820	584	495	2800	2613	1893	2442	2592	2310
remanei_genome_00005898	314	228	285	1010	977	2746	273	140	238	1567	1948	1339	1969	2263	1619
remanei_genome_00005900	767	685	453	723	576	1239	208	73	153	1391	2066	1166	3025	2508	2011
remanei_genome_00005904	185	143	150	467	246	461	36	24	48	430	405	274	925	822	824
remanei_genome_00005906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00005893	2482	1952	1506	3292	2144	4088	872	360	792	3326	4020	2963	13401	10871	10043
