Geneid	8FG1	8FG2	8FG3	8FS1	8FS2	8FS3	8MG1	8MG2	8MG3	8MS1	8MS2	8MS3	8WM1	8WM2	8WM3
latens_genome_00001760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001761	327	56	209	970	371	802	338	424	157	3695	6004	3137	7296	4933	4036
latens_genome_00001749	694	750	1160	401	437	590	1345	4129	355	769	965	380	1039	855	670
latens_genome_00001673	2161	778	740	12221	7492	10047	1372	1004	483	5892	9070	7111	5866	5791	4901
latens_genome_00001674	14553	1314	5146	34364	8920	20995	3010	3380	728	10055	10765	6223	3921	4407	4462
latens_genome_00001675	820	178	304	1076	1066	1734	6140	6148	7741	1894	2438	2584	3089	1298	1421
latens_genome_00001676	0	4	0	4	2	26	5	6	0	18	12	12	10	3	7
latens_genome_00001677	0	0	0	2	0	5	2	0	68	6	10	10	2	2	8
latens_genome_00001678	81	0	16	61	12	38	18	32	6	50	20	12	0	4	2
latens_genome_00001679	24	0	0	23	4	10	26	1	0	40	24	10	3	6	0
latens_genome_00001680	0	0	0	18	2	8	4	6	0	14	16	8	12	8	2
latens_genome_00001681	4	2	0	46	18	46	0	2	8	51	62	36	32	10	14
latens_genome_00001682	0	2	0	22	9	24	10	8	4	20	38	34	126	115	70
latens_genome_00001684	270	601	471	1889	5552	4170	922	1402	966	2803	2829	5742	3343	3127	2811
latens_genome_00001685	6	0	8	8	4	10	204	213	28	88	75	30	89	33	46
latens_genome_00001686	3560	773	2091	8188	6622	13703	1628	899	1268	2988	4287	7677	7771	6592	7834
latens_genome_00001688	1673	414	936	3343	2691	4696	893	629	854	1514	1663	3335	2474	2219	2178
latens_genome_00001689	9	3	2	28	12	76	10	12	0	33	24	34	81	82	57
latens_genome_00001691	0	6	0	6	0	22	8	13	0	35	20	6	26	33	34
latens_genome_00001692	14	4	8	5189	4	4340	1742	2712	618	66266	65256	50979	72465	34517	53029
latens_genome_00001683	8	0	22	12	18	14	30	48	657	50	70	206	312	170	78
latens_genome_00001687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001690	969	649	636	1500	1581	1570	410	174	519	859	973	1748	7304	6960	5239
